username,component_id,source_type,source_file,posts,followers,follower_segment,avg_likes,avg_comments,categories,primary_category,top_hashtags,account_type,account_confidence,creator_score,business_score,media_score
skinnyskinnypankokitty,1,profile_scrape,scrape_1776869777.json,6,5801.0,nano,187.5,2.17,"evcil_hayvan,egitim_kariyer",evcil_hayvan,"panko,cat,cats,catmemes,memes,meme,meow,kitty,kittycat,lol",creator,0.83,1.4,0.0,0.0
solay_skincare,1,profile_scrape,scrape_1776869679.json,10,319.0,nano,19.4,7.4,"guzellik_kozmetik,otomotiv",guzellik_kozmetik,"solay,skincare,serum,cream,glow,glow⁩⁩,glow⁩",creator,0.95,2.7,0.0,0.0
sscaieeee,1,profile_scrape,scrape_1776869679.json,12,,unknown,1.17,0.0,"guzellik_kozmetik,otomotiv",guzellik_kozmetik,"fyp,sunscreen,masukberandafypシ゚,parfum,skincare,trending,toner,masuk,fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,skincareroutine",creator,0.73,0.9,0.0,0.0
staffen_ali,1,profile_scrape,scrape_1776872304.json,12,3879.0,nano,-1.0,33.58,"oyuncak_hobi,otomotiv",oyuncak_hobi,"lego,legominifigures,toyphotography,legophography,marvelstudios,legophotography,legofan,jurassicpark,kesfet,legomania",creator,0.75,1.0,0.0,0.0
stillsamewith_april,1,profile_scrape,scrape_1776869679.json,4,3.0,nano,1.0,0.0,"ev_yasam,egitim_kariyer",ev_yasam,"jlpt,studygram,nihongo,polyglot",creator,0.93,1.9,0.0,0.0
studio_only,1,profile_scrape,scrape_1776868726.json,8,4355.0,nano,1.88,2.25,"fitness_saglik,evcil_hayvan,taki_aksesuar",fitness_saglik,"yoga,barre,pilates,fitness,hotyoga,spring,workout,toneitup,love,namaste",creator,0.95,2.1,0.3,0.0
studio_scrap_,1,profile_scrape,scrape_1776868726.json,8,9917.0,nano,279.25,1.38,ev_yasam,ev_yasam,"studioscrap,scrapbookingturkey,🇺🇦,itdcollectionturkiye,itdcollection,scrapbookingturkiye,🇹🇷,kesimaparati,scrapbook,kirtasiye",creator,0.75,1.0,0.0,0.0
studiopari.co,1,profile_scrape,scrape_1776937104.json,6,134.0,nano,-1.0,1.5,"oyuncak_hobi,evcil_hayvan,anne_bebek",oyuncak_hobi,"anneler,1yaş,nişanhediyeliği,düğünhediyeliği,kınahediyeliği,sözhediyeliği,nikahşekeri,dogumhediyeligi,babyshowerhediyelik,yenidogan",creator,0.85,1.5,0.0,0.0
studyconkris,1,profile_scrape,scrape_1776869679.json,6,649.0,nano,40.5,0.83,"egitim_kariyer,ev_yasam,evcil_hayvan",egitim_kariyer,"studygram,explorepage,chile,paes,psu,explore,nurse,medicina,PAES,ptu",creator,0.93,1.9,0.0,0.0
stuntmanbrick,1,profile_scrape,scrape_1776868726.json,8,23450.0,micro,1153.62,13.88,"oyuncak_hobi,ev_yasam,otomotiv",oyuncak_hobi,"lego,movies,starwars,phantommenace,tradingcards,collectibles,comedy,homealone,hotrod,2000s",creator,0.75,1.0,0.0,0.0
subhamsocial,1,profile_scrape,scrape_1776937266.json,12,399.0,nano,23.42,0.75,"otomotiv,egitim_kariyer",otomotiv,"careerguidance,career,careeropportunities,careergoals,youngminds,socialimpact,careergrowth,careeradvice,careerawareness,self",creator,0.83,1.4,0.0,0.0
success_academy_portugal,1,profile_scrape,scrape_1776868866.json,6,167.0,nano,6.17,2.0,"egitim_kariyer,ev_yasam,finans_is",egitim_kariyer,"SuccessAcademy,ExamPrep,BusinessStudies,StudyGram,StudentSuccess,ALevels,ExamSeason,StudyInspiration,AcademicExcellence,YouGotThis",creator,0.93,1.9,1.5,0.0
talihaninmutfagi,1,profile_scrape,scrape_1776869679.json,11,21110.0,micro,-1.0,26.36,yemek_mutfak,yemek_mutfak,"mutfakgram,sunumönemlidir,turkishfood,tarif,tarifler,pilav,nefisgram,sütlütatlılar,yummy,lezzet",creator,0.77,1.1,0.0,0.0
tariffdefterinizzz,1,profile_scrape,scrape_1776869436.json,6,257228.0,mid,304.83,2.33,yemek_mutfak,yemek_mutfak,"tarif,yemek,sarıyer,sarıyerböreği,elaçmasıbörek,börektarifleri,kıymalıbörek,keşfet,recipe,katmer",creator,0.95,2.2,0.3,0.0
tarihdukkani_,1,profile_scrape,scrape_1776790071.json,1,68.0,nano,11.0,0.0,egitim_kariyer,egitim_kariyer,"ayt,tyt,ayt2026,tyt2026,ayttarih,tyttarih,aytsoruları,tytsoruları,sinav,sınav",creator,0.83,1.4,0.0,0.0
technix_legocar,1,profile_scrape,scrape_1776936742.json,8,21.0,nano,4.25,0.0,"oyuncak_hobi,otomotiv,teknoloji",oyuncak_hobi,"legocar,lego,legof1,legof1car,legocars,techniccar",creator,0.75,1.0,0.0,0.0
telefonhub_,1,profile_scrape,scrape_1776936742.json,7,13.0,nano,4.0,0.0,"teknoloji,taki_aksesuar",teknoloji,"telefonhub,telefoncu,telefondukkani,girişimci,mobilservis,yazilim,teknoloji,turkiyeesnaf,iphone,samsung",creator,0.75,1.0,0.0,0.0
telve_i_letaif,1,profile_scrape,scrape_1776790071.json,6,163.0,nano,19.0,0.5,yemek_mutfak,yemek_mutfak,"kahvelisözler,kahveligünler,kahve,telvesiumutköpüğühuzurolsun,keşfetteyiz🙏🏻✔️🙏🏻⃣*⃣⃣*⃣⃣*⃣⃣*⃣⃣*⃣⃣*⃣",creator,0.83,1.4,0.0,0.0
telveli.kahvem68,1,profile_scrape,scrape_1776937266.json,12,5381.0,nano,556.67,24.42,yemek_mutfak,yemek_mutfak,"viral,kahve,reelitfeelit,fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,keşfetteyim,keşfet,reelsinstagram,keşfetteyiz,fyp,bacım",creator,0.83,1.4,0.0,0.0
teodora.dan,1,profile_scrape,scrape_1776872304.json,12,132255.0,mid,1103.83,37.92,"moda_yasam,otomotiv",moda_yasam,"fyp,outfit,cinderellascloset,instagram,dubai,photo,ramadan,abaya,tweed,vanilla",creator,0.73,0.9,0.0,0.0
