username,degree,weighted_degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,primary_category,categories,follower_segment,followers,avg_likes,avg_comments
atomy.busranur,13,4.875,0.038576,0.004019,0.143295,0.004784,0.001333,guzellik_kozmetik,"guzellik_kozmetik,oyuncak_hobi,evcil_hayvan",nano,31.0,3.75,0.75
avm.sepetim,40,17.875,0.118694,0.002065,0.166228,0.043901,0.003131,evcil_hayvan,"evcil_hayvan,otomotiv",nano,125.0,6.33,0.17
awsservitecgmbh,25,9.75,0.074184,0.002411,0.118954,0.013714,0.002169,ev_yasam,ev_yasam,nano,8.0,1.62,0.12
ayda_atolye,19,7.75,0.05638,0.027383,0.15067,0.011105,0.002075,evcil_hayvan,"evcil_hayvan,yemek_mutfak,oyuncak_hobi",nano,1295.0,26.75,0.83
aylin_yaykin,44,23.037,0.130564,3e-06,0.15761,0.055572,0.003653,anne_bebek,anne_bebek,nano,837.0,-1.0,41.2
ayora.candles,8,3.0,0.023739,0.000652,0.132652,0.003405,0.001028,oyuncak_hobi,"oyuncak_hobi,dekorasyon_mobilya,evcil_hayvan",nano,627.0,33.17,409.17
aysegulkibarr,33,14.5898,0.097923,0.002767,0.155403,0.043725,0.002521,evcil_hayvan,"evcil_hayvan,oyuncak_hobi,egitim_kariyer",nano,278.0,17.33,6.0
babylabstudio,25,10.3216,0.074184,0.016821,0.152604,0.010675,0.002193,anne_bebek,"anne_bebek,egitim_kariyer,otomotiv",nano,1154.0,23.0,2.0
badematay,56,28.0986,0.166172,0.000106,0.164693,0.098657,0.004078,evcil_hayvan,"evcil_hayvan,egitim_kariyer",nano,82.0,32.5,0.83
baharatascakir,44,23.2316,0.130564,0.016029,0.159691,0.056094,0.00368,anne_bebek,anne_bebek,nano,374.0,65.33,3.83
bala_tech_0007,15,7.5132,0.04451,0.004733,0.125252,0.000288,0.00297,teknoloji,teknoloji,micro,50329.0,17108.92,983.17
balon_sepeti,35,15.7055,0.103858,0.00251,0.157707,0.033016,0.002849,oyuncak_hobi,"oyuncak_hobi,evcil_hayvan,anne_bebek",nano,676.0,10.42,1.25
baytunagrup,15,7.5132,0.04451,0.001496,0.125191,0.000288,0.002971,teknoloji,teknoloji,nano,48.0,15.0,0.0
bdk_bund,41,25.2306,0.121662,6.1e-05,0.141377,0.111819,0.003785,yemek_mutfak,yemek_mutfak,nano,1338.0,32.83,2.67
bdyuluslararasigida,41,25.2235,0.121662,2.4e-05,0.14116,0.111812,0.003783,yemek_mutfak,yemek_mutfak,nano,2027.0,56.27,0.0
beautybyeylull,11,4.916,0.032641,0.0,0.103635,0.000524,0.001492,guzellik_kozmetik,guzellik_kozmetik,nano,83.0,7.5,0.0
bebegim.icin7,50,20.448,0.148368,0.013827,0.141437,0.075036,0.003217,anne_bebek,"anne_bebek,yemek_mutfak",nano,2.0,2.0,0.0
bebekvari,44,23.2077,0.130564,3e-06,0.158507,0.056085,0.003675,anne_bebek,anne_bebek,nano,1022.0,76.45,0.55
bee.artisan.qc,15,6.125,0.04451,0.009453,0.139304,0.000641,0.002033,oyuncak_hobi,"oyuncak_hobi,otomotiv,finans_is",nano,26.0,0.75,1.5
beko_kayaoglu,41,25.2306,0.121662,6.7e-05,0.14151,0.11183,0.003785,yemek_mutfak,yemek_mutfak,nano,808.0,246.64,0.82
bela._.aura,29,15.2632,0.086053,0.000401,0.139737,0.003294,0.003467,guzellik_kozmetik,"guzellik_kozmetik,otomotiv",nano,40.0,8.2,0.2
bento.lola_,50,25.2397,0.148368,0.000662,0.161943,0.100007,0.003685,evcil_hayvan,evcil_hayvan,nano,23.0,10.78,1.89
berilybaby,41,19.8714,0.121662,0.003917,0.159891,0.036866,0.003487,anne_bebek,"anne_bebek,moda_yasam,evcil_hayvan",nano,39.0,3.75,0.0
beyzadeecicek,44,23.1051,0.130564,0.00184,0.158828,0.055696,0.003663,anne_bebek,anne_bebek,nano,150.0,13.75,0.0
bikiandchonk,56,28.1626,0.166172,0.000106,0.165406,0.09892,0.004086,evcil_hayvan,"evcil_hayvan,egitim_kariyer",nano,97.0,10.5,0.88
bilkentalks,20,12.375,0.059347,0.000418,0.124673,0.001573,0.003228,finans_is,finans_is,nano,2404.0,30.08,8.17
bioexatas.ms,38,22.4376,0.11276,0.002467,0.142181,0.040262,0.003524,ev_yasam,"ev_yasam,egitim_kariyer",nano,4053.0,150.33,10.92
birazannebirazkaos,44,23.3904,0.130564,0.004083,0.15987,0.056632,0.0037,anne_bebek,anne_bebek,nano,15.0,7.6,2.8
bizimbebekgunlugu,61,28.9854,0.181009,0.011958,0.169324,0.086052,0.00436,anne_bebek,"anne_bebek,evcil_hayvan",nano,510.0,683.33,8.75
bloggwithmom,50,20.3494,0.148368,0.002667,0.140353,0.074864,0.003204,anne_bebek,"anne_bebek,yemek_mutfak",nano,586.0,1310.5,61.17
bodoge_shitamura,8,3.8063,0.023739,0.0,0.111289,0.000303,0.001595,oyuncak_hobi,"oyuncak_hobi,oyun_espor",nano,173.0,2.67,0.0
bonbon.balon,50,25.2056,0.148368,0.000327,0.160926,0.09984,0.003681,evcil_hayvan,evcil_hayvan,nano,397.0,31.75,1.92
buabroad,27,12.9065,0.080119,0.008383,0.127499,0.020503,0.002576,egitim_kariyer,"egitim_kariyer,ev_yasam,seyahat_gezi",nano,6099.0,43.5,2.88
byaslanhoca,51,22.9542,0.151335,0.00329,0.155056,0.058239,0.003509,egitim_kariyer,egitim_kariyer,nano,243.0,29.83,1.92
callystavodafone4,17,7.5,0.050445,0.002325,0.137673,0.004273,0.002353,oyuncak_hobi,oyuncak_hobi,nano,203.0,4.17,0.0
cat_dogloversofficial,56,28.2673,0.166172,0.003391,0.165218,0.099242,0.0041,evcil_hayvan,"evcil_hayvan,egitim_kariyer",nano,5631.0,18.83,2.5
cayeli.evmeze,41,25.4333,0.121662,6.1e-05,0.141944,0.11271,0.003812,yemek_mutfak,yemek_mutfak,nano,99.0,17.14,0.0
cb.ayseyurtsever,50,25.125,0.148368,9.7e-05,0.160325,0.099563,0.00367,evcil_hayvan,evcil_hayvan,nano,574.0,14.58,0.33
cekirdekrehberlik,51,23.2006,0.151335,0.008068,0.157158,0.058866,0.003541,egitim_kariyer,egitim_kariyer,nano,301.0,64.43,22.86
celebrationstudio.ie,3,1.125,0.008902,0.002528,0.098041,2.2e-05,0.001243,dekorasyon_mobilya,dekorasyon_mobilya,nano,1166.0,24.83,1.83
cflmun,20,12.375,0.059347,0.000418,0.124673,0.001573,0.003228,finans_is,finans_is,nano,581.0,27.83,2.25
chovancova_viktoria,34,13.9712,0.10089,0.007183,0.129274,0.054163,0.002614,fitness_saglik,"fitness_saglik,yemek_mutfak",micro,43331.0,5102.5,34.58
christian.and.catherine,35,15.7537,0.103858,0.019132,0.154112,0.012993,0.003237,guzellik_kozmetik,"guzellik_kozmetik,otomotiv,evcil_hayvan",nano,1274.0,7.0,0.17
ciaocane.spa,50,25.2077,0.148368,0.000176,0.1612,0.099871,0.003681,evcil_hayvan,evcil_hayvan,nano,804.0,26.0,2.5
clair_glow,35,15.625,0.103858,0.003716,0.153941,0.012968,0.003212,guzellik_kozmetik,"guzellik_kozmetik,otomotiv,evcil_hayvan",nano,38.0,0.17,0.0
clubpilates.sandy,9,3.7764,0.026706,0.005527,0.122514,0.003128,0.001343,fitness_saglik,fitness_saglik,nano,1701.0,8.5,5.0
cocukgiyimevicom,41,19.8154,0.121662,0.004293,0.160045,0.037067,0.003475,anne_bebek,"anne_bebek,moda_yasam,evcil_hayvan",micro,19465.0,2.67,0.25
cookieetgribouille,36,15.75,0.106825,0.002901,0.157203,0.007366,0.003729,otomotiv,otomotiv,nano,360.0,70.27,1.18
coquiette.jpg,22,9.0,0.065282,0.00023,0.103751,0.000419,0.002753,teknoloji,"teknoloji,finans_is",nano,7083.0,911.33,36.17
cozumelektronikmagaza,12,4.8042,0.035608,0.014072,0.127897,0.00041,0.001921,teknoloji,"teknoloji,oyuncak_hobi",micro,11896.0,235.42,1.25
cozysahra,41,25.1514,0.121662,2.4e-05,0.141661,0.111453,0.003774,yemek_mutfak,yemek_mutfak,nano,3743.0,357.0,56.92
cvmatchly_ai,13,5.416,0.038576,0.004769,0.138785,0.005845,0.001463,egitim_kariyer,"egitim_kariyer,otomotiv,taki_aksesuar",nano,343.0,9.58,1.92
cyf_congress,16,6.875,0.047478,0.004938,0.144848,0.007143,0.001672,egitim_kariyer,"egitim_kariyer,otomotiv,finans_is",nano,1697.0,58.08,0.75
damlasdreams,18,7.3716,0.053412,0.005746,0.140018,0.004388,0.001845,otomotiv,"otomotiv,fitness_saglik,anne_bebek",nano,39.0,10.2,0.6
danica_studio,4,1.6661,0.011869,0.001054,0.100107,2.7e-05,0.001521,dekorasyon_mobilya,"dekorasyon_mobilya,ev_yasam,moda_yasam",micro,23134.0,27.62,1.5
